ticket_handle,game_handle,v,v+,t,h,h+,cuttoff_date,outcomes,visitor,home,sport
2594,56,1.65,2.3,7.0,2.8,2.0,2017-10-05 19:30:00.0,v t,WASHINGTON,OTTAWA,HKY
2594,28,1.9,2.5,3.1,3.3,2.7,2017-10-05 23:59:00.0,v,MIAMI-FLORIDA,FLORIDA ST.,CFB
2594,48,1.2,1.4,4.0,7.5,5.2,2017-10-05 23:59:00.0,v+ v,SAN DIEGO ST.,UNLV,CFB
2594,43,2.1,2.7,2.9,3.1,2.5,2017-10-05 23:59:00.0,v+ v,WASHINGTON ST.,OREGON,CFB
2594,60,2.5,3.3,7.0,1.9,1.45,2017-10-05 22:00:00.0,h+ h,PHILADELPHIA,LOS ANGELES,HKY
2594,61,2.85,4.1,2.55,1.45,1.2,2017-10-03 20:00:00.0,h+ h,MINNESOTA,NEW YORK-Y,BBL
2594,62,2.3,3.0,2.8,1.7,1.35,2017-10-04 20:00:00.0,h+ h,COLORADO,ARIZONA,BBL
2594,63,1.85,2.6,2.15,2.1,1.6,2017-10-05 16:00:00.0,h+ h,BOSTON,HOUSTON,BBL
2594,64,1.9,2.6,2.6,1.95,1.55,2017-10-05 19:30:00.0,h+ h,NEW YORK-Y,CLEVELAND,BBL
2594,65,9.0,0.0,5.0,0.0,1.2,2017-10-03 19:00:00.0,v,MINNESOTA,ATLANTA,SCR
2594,66,1.1,0.0,6.0,0.0,9.9,2017-10-05 12:00:00.0,v,POLAND,ARMENIA,SCR
2594,67,1.15,0.0,5.5,0.0,9.5,2017-10-05 14:45:00.0,v,GERMANY,NORTHERN IRELAND,SCR
2594,69,9.9,0.0,6.0,0.0,1.1,2017-10-05 14:45:00.0,h,KAZAKHSTAN,ROMANIA,SCR
2594,80,3.9,0.0,3.1,0.0,1.75,2017-10-05 23:59:00.0,v,ICELAND,TURKEY,SCR
2594,81,6.0,0.0,3.8,0.0,1.4,2017-10-05 23:59:00.0,h,PANAMA,UNITED STATES,SCR
2594,53,1.9,2.7,7.0,2.4,1.7,2017-10-05 19:00:00.0,h,NASHVILLE,BOSTON,HKY
2594,26,2.5,3.1,2.9,2.7,2.1,2017-10-05 23:59:00.0,h,DUKE,VIRGINIA,CFB
2594,27,5.5,8.0,4.5,1.3,1.15,2017-10-05 23:59:00.0,h,WEST VIRGINIA,TEXAS CHRISTIAN,CFB
2594,22,1.1,1.2,5.0,9.0,6.0,2017-10-05 23:59:00.0,v+ v,PENN ST.,NORTHWESTERN,CFB
2594,49,1.7,2.4,7.0,2.7,1.9,2017-10-04 19:00:00.0,v+ v,TORONTO,WINNIPEG,HKY
2594,46,1.6,2.2,3.4,4.0,3.3,2017-10-05 23:59:00.0,t,STANFORD,UTAH,CFB
2594,45,3.7,4.8,3.5,2.0,1.5,2017-10-05 23:59:00.0,t,ARIZONA,COLORADO,CFB
2594,42,1.2,1.4,4.0,7.5,5.2,2017-10-05 23:59:00.0,v+ v,WISCONSIN,NEBRASKA,CFB
2594,29,1.15,1.3,4.5,8.0,5.5,2017-10-05 23:59:00.0,v+ v,NOTRE DAME,NORTH CAROLINA,CFB
2594,40,5.0,7.0,3.9,1.5,1.25,2017-10-05 23:59:00.0,v,MICHIGAN ST.,MICHIGAN,CFB
2594,41,5.0,7.0,3.9,1.5,1.25,2017-10-05 23:59:00.0,h,MISSOURI,KENTUCKY,CFB
2594,1,2.2,2.8,2.8,3.0,2.4,2017-10-05 23:59:00.0,t,NEW YORK-J,CLEVELAND,FTB
2594,3,2.4,3.0,2.8,2.8,2.2,2017-10-05 23:59:00.0,t,SAN FRANCISCO,INDIANAPOLIS,FTB
2594,2,2.6,3.2,3.0,2.6,2.0,2017-10-05 23:59:00.0,t,CAROLINA,DETROIT,FTB
2594,5,2.5,3.1,2.9,2.7,2.1,2017-10-05 23:59:00.0,h,BUFFALO,CINCINNATI,FTB
2594,18,1.4,1.8,3.6,5.5,4.0,2017-10-05 23:59:00.0,v+ v,EDMONTON,MONTREAL,FTB
2594,7,4.5,6.2,3.8,1.6,1.3,2017-10-05 23:59:00.0,v+ v,JACKSONVILLE,PITTSBURGH,FTB
2594,6,2.7,3.3,3.1,2.5,1.9,2017-10-05 23:59:00.0,v,LOS ANGELES-CH,NEW YORK-G,FTB
2594,9,2.4,3.0,2.8,2.8,2.2,2017-10-05 23:59:00.0,v,SEATTLE,LOS ANGELES-R,FTB
2594,8,3.7,4.8,3.5,2.0,1.5,2017-10-05 23:59:00.0,h+ h,ARIZONA,PHILADELPHIA,FTB
2594,68,1.9,0.0,3.0,0.0,3.4,2017-10-05 14:45:00.0,v,DENMARK,MONTENEGRO,SCR
2594,77,8.0,0.0,4.5,0.0,1.25,2017-10-05 19:30:00.0,v,PARAGUAY,COLOMBIA,SCR
2594,76,8.0,0.0,4.5,0.0,1.25,2017-10-05 19:30:00.0,h,ECUADOR,CHILE,SCR
2594,75,9.95,0.0,6.25,0.0,1.05,2017-10-05 19:30:00.0,t,PERU,ARGENTINA,SCR
2594,74,1.5,0.0,3.6,0.0,5.0,2017-10-05 17:00:00.0,t,URUGUAY,VENEZUELA,SCR
2594,73,1.7,0.0,3.2,0.0,4.0,2017-10-05 16:00:00.0,t,BRAZIL,BOLIVIA,SCR
2594,72,2.8,0.0,3.0,0.0,2.2,2017-10-05 14:45:00.0,h,SLOVAKIA,SCOTLAND,SCR
2594,71,1.8,0.0,3.0,0.0,3.8,2017-10-05 14:45:00.0,t,LITHUANIA,MALTA,SCR
2594,70,9.0,0.0,5.0,0.0,1.2,2017-10-05 14:45:00.0,h,SLOVENIA,ENGLAND,SCR
2594,59,2.7,3.5,7.0,1.85,1.4,2017-10-05 22:00:00.0,h,ARIZONA,ANAHEIM,HKY
2594,79,1.85,0.0,3.0,0.0,3.6,2017-10-05 23:59:00.0,h,SERBIA,AUSTRIA,SCR
2594,78,1.75,0.0,3.1,0.0,3.9,2017-10-05 23:59:00.0,v,WALES,GEORGIA,SCR
2594,11,2.4,3.0,2.8,2.8,2.2,2017-10-05 23:59:00.0,v,GREEN BAY,DALLAS,FTB
2594,10,2.5,3.1,2.9,2.7,2.1,2017-10-05 23:59:00.0,v+ v,BALTIMORE,OAKLAND,FTB
2594,12,2.2,2.8,2.8,3.0,2.4,2017-10-05 23:59:00.0,v+ v,KANSAS CITY,HOUSTON,FTB
2594,15,5.5,8.0,4.5,1.3,1.15,2017-10-05 23:59:00.0,v+ v,HAMILTON,WINNIPEG,FTB
2594,58,1.85,2.6,7.0,2.5,1.75,2017-10-05 20:30:00.0,h+ h,PITTSBURGH,CHICAGO,HKY
2594,14,1.6,2.2,3.4,4.0,3.3,2017-10-05 20:15:00.0,v,NEW ENGLAND,TAMPA BAY,FTB
2594,16,2.4,3.0,2.8,2.8,2.2,2017-10-05 23:59:00.0,t,SASKATCHEWAN,TORONTO,FTB
2594,19,1.85,2.4,3.2,3.3,2.7,2017-10-05 20:00:00.0,h+ h,LOUISVILLE,NORTH CAROLINA ST.,CFB
2594,54,1.65,2.3,7.0,2.8,2.0,2017-10-05 19:00:00.0,v t,MONTREAL,BUFFALO,HKY
