handle,date
2594,2017-10-03
2595,2017-10-06
2596,2017-10-08
2597,2017-10-10
2590,2017-09-26
2591,2017-09-27
2592,2017-09-29
2593,2017-10-02
2635,2017-12-20
2634,2017-12-19
2637,2017-12-24
2636,2017-12-22
2598,2017-10-13
2599,2017-10-15
2633,2017-12-17
2632,2017-12-15
2584,2017-09-12
2626,2017-12-05
2601,2017-10-20
2543,2017-05-12
2542,2017-05-09
2541,2017-05-07
2540,2017-05-05
2546,2017-05-19
2545,2017-05-16
2544,2017-05-14
2561,2017-07-11
2549,2017-05-26
2548,2017-05-24
2564,2017-07-24
2606,2017-10-30
2669,2018-02-27
2587,2017-09-19
2605,2017-10-27
2585,2017-09-15
2607,2017-10-31
2600,2017-10-17
2627,2017-12-06
2624,2017-12-02
2603,2017-10-24
2640,2018-01-01
2631,2017-12-13
2628,2017-12-08
2629,2017-12-11
2644,2018-01-11
2645,2018-01-13
2586,2017-09-18
2630,2017-12-12
2589,2017-09-24
2554,2017-06-13
2588,2017-09-22
2550,2017-05-30
2551,2017-06-02
2649,2018-01-21
2553,2017-06-11
2608,2017-11-03
2555,2017-06-16
2558,2017-06-28
2559,2017-06-30
2574,2017-08-21
2572,2017-08-15
2639,2017-12-29
2538,2017-05-01
2539,2017-05-02
2552,2017-06-06
2638,2017-12-27
2625,2017-12-03
2532,2017-04-20
2533,2017-04-21
2531,2017-04-18
2537,2017-04-29
2534,2017-04-23
2535,2017-04-25
