,date,team_name,games,minutes,field_goals,field_goal_attempts,field_goal_percentage,three_points,three_point_attempts,three_point_percentage,two_points,two_point_attempts,two_point_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turn_overs,personal_fouls,points
0,2017-10-18,Houston Rockets,1,240,47,97,0.485,15,41,0.366,32,56,0.571,13,19,0.684,10,33,43,28,9,12,16,122
1,2017-10-18,Golden State Warriors,1,240,43,80,0.538,16,30,0.533,27,50,0.54,19,21,0.905,6,35,41,34,5,17,25,121
2,2017-10-18,Cleveland Cavaliers,1,240,38,83,0.458,5,22,0.227,33,61,0.541,21,25,0.84,9,41,50,19,3,17,25,102
3,2017-10-18,Boston Celtics,1,240,36,88,0.409,8,32,0.25,28,56,0.5,19,25,0.76,9,37,46,24,11,10,24,99
4,2017-10-19,Indiana Pacers,1,240,53,102,0.52,9,34,0.265,44,68,0.647,25,32,0.781,14,33,47,29,12,14,25,140
5,2017-10-19,Brooklyn Nets,1,240,45,94,0.479,12,30,0.4,33,64,0.516,29,32,0.906,11,32,43,22,7,20,25,131
6,2017-10-19,Portland Trail Blazers,1,240,44,90,0.489,14,24,0.583,30,66,0.455,22,28,0.786,15,42,57,22,8,16,20,124
7,2017-10-19,Golden State Warriors,1,240,43,80,0.538,16,30,0.533,27,50,0.54,19,21,0.905,6,35,41,34,5,17,25,121
8,2017-10-19,Washington Wizards,1,240,42,97,0.433,6,22,0.273,36,75,0.48,30,38,0.789,16,36,52,21,8,9,20,120
9,2017-10-19,Atlanta Hawks,1,240,48,94,0.511,9,18,0.5,39,76,0.513,12,15,0.8,14,36,50,20,11,13,18,117
10,2017-10-19,Orlando Magic,1,240,43,90,0.478,8,21,0.381,35,69,0.507,22,29,0.759,11,39,50,22,8,14,18,116
11,2017-10-19,Philadelphia 76ers,1,240,43,93,0.462,15,35,0.429,28,58,0.483,14,19,0.737,11,37,48,25,6,17,28,115
12,2017-10-19,Houston Rockets,2,480,80,180,0.444,27,86,0.314,53,94,0.564,40,48,0.833,22,65,87,47,16,26,30,227
13,2017-10-19,Dallas Mavericks,1,240,38,86,0.442,17,45,0.378,21,41,0.512,18,21,0.857,9,32,41,27,5,15,19,111
14,2017-10-19,Miami Heat,1,240,44,101,0.436,8,30,0.267,36,71,0.507,13,17,0.765,11,33,44,27,6,13,20,109
15,2017-10-19,Milwaukee Bucks,1,240,38,76,0.5,7,21,0.333,31,55,0.564,25,30,0.833,6,39,45,19,6,15,22,108
16,2017-10-19,San Antonio Spurs,1,240,41,89,0.461,8,21,0.381,33,68,0.485,17,19,0.895,12,38,50,22,8,11,18,107
17,2017-10-19,Utah Jazz,1,240,41,81,0.506,9,24,0.375,32,57,0.561,15,16,0.938,6,30,36,28,9,15,18,106
18,2017-10-19,Memphis Grizzlies,1,240,39,92,0.424,9,29,0.31,30,63,0.476,16,28,0.571,15,30,45,19,9,11,29,103
19,2017-10-19,Detroit Pistons,1,240,41,96,0.427,9,26,0.346,32,70,0.457,11,12,0.917,9,38,47,24,14,8,21,102
20,2017-10-19,Cleveland Cavaliers,1,240,38,83,0.458,5,22,0.227,33,61,0.541,21,25,0.84,9,41,50,19,3,17,25,102
21,2017-10-19,Sacramento Kings,1,240,42,88,0.477,8,23,0.348,34,65,0.523,8,10,0.8,9,33,42,19,5,17,20,100
22,2017-10-19,Boston Celtics,2,480,75,179,0.419,19,60,0.317,56,119,0.471,30,46,0.652,20,69,89,47,23,22,51,199
23,2017-10-19,Minnesota Timberwolves,1,240,37,85,0.435,8,19,0.421,29,66,0.439,17,23,0.739,11,31,42,23,7,13,16,99
24,2017-10-19,Denver Nuggets,1,240,36,77,0.468,13,27,0.481,23,50,0.46,11,12,0.917,7,31,38,21,4,20,18,96
25,2017-10-19,New Orleans Pelicans,1,240,30,79,0.38,7,25,0.28,23,54,0.426,24,29,0.828,16,35,51,15,4,17,31,91
26,2017-10-19,Charlotte Hornets,1,240,29,73,0.397,9,30,0.3,20,43,0.465,23,29,0.793,3,44,47,16,4,17,15,90
27,2017-10-19,Phoenix Suns,1,240,28,89,0.315,7,27,0.259,21,62,0.339,13,18,0.722,10,23,33,10,9,16,22,76
28,2017-10-20,Indiana Pacers,1,240,53,102,0.52,9,34,0.265,44,68,0.647,25,32,0.781,14,33,47,29,12,14,25,140
29,2017-10-20,Brooklyn Nets,1,240,45,94,0.479,12,30,0.4,33,64,0.516,29,32,0.906,11,32,43,22,7,20,25,131
30,2017-10-20,Portland Trail Blazers,1,240,44,90,0.489,14,24,0.583,30,66,0.455,22,28,0.786,15,42,57,22,8,16,20,124
31,2017-10-20,Golden State Warriors,1,240,43,80,0.538,16,30,0.533,27,50,0.54,19,21,0.905,6,35,41,34,5,17,25,121
32,2017-10-20,Washington Wizards,1,240,42,97,0.433,6,22,0.273,36,75,0.48,30,38,0.789,16,36,52,21,8,9,20,120
33,2017-10-20,Atlanta Hawks,1,240,48,94,0.511,9,18,0.5,39,76,0.513,12,15,0.8,14,36,50,20,11,13,18,117
34,2017-10-20,Toronto Raptors,1,240,39,83,0.47,13,29,0.448,26,54,0.481,26,28,0.929,13,36,49,26,10,17,19,117
35,2017-10-20,Orlando Magic,1,240,43,90,0.478,8,21,0.381,35,69,0.507,22,29,0.759,11,39,50,22,8,14,18,116
